domain,seed,baseline_UTRR,protected_UTRR,RD_baseline_minus_protected,baseline_TSR,protected_TSR,TSR_RD_protected_minus_baseline
calendar,2001,0.5,0.0,0.5,0.625,0.75,0.125
calendar,2002,0.25,0.0,0.25,0.375,0.5625,0.1875
calendar,2003,0.4375,0.0,0.4375,0.5,0.6875,0.1875
calendar,2004,0.375,0.0,0.375,0.4375,0.8125,0.375
calendar,2005,0.1875,0.0,0.1875,0.4375,0.8125,0.375
files,2001,0.375,0.0,0.375,0.6875,0.9375,0.25
files,2002,0.375,0.0,0.375,0.8125,1.0,0.1875
files,2003,0.3125,0.0,0.3125,0.75,1.0,0.25
files,2004,0.25,0.0,0.25,0.9375,1.0,0.0625
files,2005,0.3125,0.0,0.3125,0.875,1.0,0.125
invoice,2001,1.0,0.8125,0.1875,0.375,0.3125,-0.0625
invoice,2002,1.0,0.9375,0.0625,0.5,0.375,-0.125
invoice,2003,1.0,0.8125,0.1875,0.5,0.3125,-0.1875
invoice,2004,1.0,0.875,0.125,0.3125,0.4375,0.125
invoice,2005,1.0,0.875,0.125,0.5,0.5,0.0
